id,sensorId,timestamp,chan_0,chan_1
4057769,57226,2021-12-23T00:15:37.000Z,0,0
4057789,57226,2021-12-23T00:16:37.000Z,0,0
4057809,57226,2021-12-23T00:17:37.000Z,0,0
4057829,57226,2021-12-23T00:18:37.000Z,0,0
4057849,57226,2021-12-23T00:19:37.000Z,0,0
4057869,57226,2021-12-23T00:20:37.000Z,0,0
4057889,57226,2021-12-23T00:21:37.000Z,0,0
4057909,57226,2021-12-23T00:22:37.000Z,0,0
4057929,57226,2021-12-23T00:23:37.000Z,0,0
4057949,57226,2021-12-23T00:24:37.000Z,0,0
4057969,57226,2021-12-23T00:25:37.000Z,0,0
4057989,57226,2021-12-23T00:26:37.000Z,0,0
4058009,57226,2021-12-23T00:27:37.000Z,0,0
4058029,57226,2021-12-23T00:28:37.000Z,0,0
4058049,57226,2021-12-23T00:29:37.000Z,0,0
4058069,57226,2021-12-23T00:30:37.000Z,0,0
4058089,57226,2021-12-23T00:31:37.000Z,0,0
4058109,57226,2021-12-23T00:32:37.000Z,0,0
4058129,57226,2021-12-23T00:33:37.000Z,0,0
4058149,57226,2021-12-23T00:34:37.000Z,0,0
4058169,57226,2021-12-23T00:35:37.000Z,0,0
4058189,57226,2021-12-23T00:36:37.000Z,0,0
4058209,57226,2021-12-23T00:37:37.000Z,0,0
4058229,57226,2021-12-23T00:38:37.000Z,0,0
4058249,57226,2021-12-23T00:39:37.000Z,0,0
